No_Shot,Machine_Cycle_Time,Cycle_Time,Barrel_Temp_Z1,Barrel_Temp_Z2,Barrel_Temp_Z3,Barrel_Temp_Z4,Hopper_Temp,Injection_Pressure_Real_Time,Screw_Position,Injection_Peak_Press,Max_Injection_Rate,Screw_Velocity,VP_Time,VP_Position,Weighing_Start_Position,VP_Press,Plasticizing_Time,Plasticizing_Start_Position,Plasticizing_End_Position,Plasticizing_RPM,Minimum_Cushion,Cooling_Time,Back_Flow,Decompression_Time,_ID
207,16.66,16.68,210,200.1,195.1,190.2,40,1.37,6.46,1277,78.23,48.85,2,8.11,10.95,1163.02,4.78,10.95,63.11,28.27,6.46,8,49.03,0.32,207
208,16.68,16.68,210,200.1,195.1,190.3,39.9,1.37,6.59,1295.34,78.09,46.62,2,8.12,11.08,1152.17,4.83,11.07,63.11,28.27,6.59,8,49.03,0.32,208
209,16.66,16.68,210,200.1,195.2,190.3,39.9,1.35,6.46,1280.99,78.18,48.83,2,8.11,10.96,1169,4.84,10.95,63.11,28.27,6.46,8,49.03,0.32,209
210,16.64,16.68,210,200.1,195.3,190.3,39.9,1.34,6.46,1267.15,78.19,47.36,2,8.14,10.96,1177.11,4.83,10.94,63.11,28.27,6.46,8,49.03,0.32,210
211,16.66,16.64,210,200.1,195.3,190.3,40,1.34,6.6,1245.2,78.07,42.16,2,8.11,11.09,1230.36,4.77,11.07,63.12,28.27,6.6,8,49.03,0.32,211
212,16.64,16.66,210,200.1,195.3,190.2,40.1,1.34,6.65,1244.7,78.09,43.26,2,8.14,11.13,1218.39,4.76,11.12,63.11,28.27,6.65,8,49.03,0.32,212
213,16.64,16.66,210,200,195.3,190.3,40.2,1.34,6.46,1247.2,78.27,46.51,2,8.12,10.94,1209.41,4.79,10.93,63.12,28.27,6.46,8,49.03,0.32,213
214,16.66,16.64,210,200.1,195.3,190.2,40.3,1.36,6.47,1286.36,78.17,48.36,2,8.11,10.97,1169.38,4.75,10.96,63.11,28.27,6.47,8,49.03,0.33,214
215,16.66,16.69,210,200.1,195.5,190.2,40.1,1.37,6.51,1269.27,78.2,48.88,2,8.12,10.96,1177.23,4.76,10.96,63.11,28.27,6.51,8,49.03,0.32,215
216,16.68,16.68,210,200,195.3,190.1,40,1.37,6.49,1258.05,78.2,48.71,2,8.1,10.98,1175.11,4.79,10.98,63.11,28.27,6.49,8,49.03,0.32,216
217,16.68,16.68,210,200.1,195.1,190.1,40,1.37,6.54,1256.68,78.16,49.14,2,8.1,11.02,1191.83,4.79,11.01,63.11,28.27,6.54,8,49.03,0.32,217
218,16.66,16.68,210,200.1,195.1,190.2,39.9,1.36,6.53,1259.05,78.19,47.47,2,8.1,10.99,1190.83,4.82,10.97,63.11,28.27,6.53,8,49.03,0.33,218
219,16.66,16.68,210,200.1,195.1,190.3,39.8,1.35,6.47,1257.8,78.3,47.46,2,8.11,10.91,1184.59,4.82,10.88,63.12,28.27,6.47,8,49.03,0.33,219
220,16.66,16.66,210,200.1,195.1,190.2,40,1.36,6.52,1286.11,78.14,46.58,2,8.13,11.01,1155.41,4.83,11,63.11,28.27,6.52,8,49.03,0.32,220
221,16.66,16.68,210.1,200.1,195,190.3,40.2,1.37,6.52,1276.01,78.16,47.74,2,8.1,11,1170.5,4.8,10.99,63.11,28.27,6.52,8,49.03,0.32,221
222,16.64,16.68,210.1,200.1,195,190.2,40.2,1.36,6.58,1257.05,78.11,47.66,2,8.1,11.04,1186.96,4.79,11.04,63.11,28.27,6.58,8,49.03,0.32,222
223,16.66,16.67,210,200.1,195.1,190.1,40.2,1.36,6.5,1255.8,78.19,48.33,2,8.11,11.01,1197.31,4.84,11,63.11,28.27,6.5,8,49.03,0.32,223
224,16.66,16.68,210,200,194.9,190.1,40.2,1.36,6.5,1244.58,78.23,47.55,2,8.12,11.01,1204.17,4.8,10.99,63.11,28.27,6.5,8,49.03,0.32,224
225,16.66,16.68,210,199.9,194.9,190,40.1,1.37,6.46,1252.19,78.31,48.5,2,8.11,10.93,1188.71,4.8,10.91,63.11,28.27,6.46,8,49.03,0.32,225
226,16.68,16.66,210,199.9,194.8,189.9,40,1.37,6.57,1284.24,78.12,49.02,2,8.12,11.06,1162.27,4.82,11.04,63.11,28.27,6.57,8,49.03,0.32,226
227,16.66,16.68,210,199.9,194.9,189.9,40,1.36,6.56,1268.52,78.18,48.05,2,8.13,11.06,1178.98,4.83,11.05,63.11,28.27,6.56,8,49.03,0.32,227
228,16.64,16.68,209.9,199.9,194.9,189.8,39.9,1.35,6.6,1256.68,78.11,46.65,2,8.11,11.05,1197.56,4.8,11.04,63.11,28.27,6.6,8,49.03,0.32,228
229,16.64,16.66,210,200,194.9,189.8,40,1.35,6.45,1257.3,78.32,47.72,2,8.11,10.92,1186.46,4.86,10.91,63.11,28.27,6.45,8,49.03,0.32,229
230,16.64,16.66,210.1,200,194.8,189.7,40.2,1.35,6.46,1257.8,78.27,47.2,2,8.12,10.93,1184.72,4.82,10.92,63.11,28.27,6.46,8,49.03,0.32,230
231,16.66,16.66,210,199.9,194.8,189.8,40.3,1.35,6.57,1242.83,78.21,47.14,2,8.11,11.02,1204.05,4.81,11.01,63.12,28.27,6.57,8,49.03,0.32,231
232,16.68,16.66,210,200,194.8,189.9,40.3,1.38,6.54,1288.1,78.12,47.64,2,8.11,11.02,1148.3,4.82,11,63.11,28.27,6.54,8,49.03,0.32,232
233,16.68,16.71,210,200.1,194.8,190,40.2,1.38,6.57,1291.35,78.15,47.6,2,8.12,11.06,1156.03,4.82,11.06,63.12,28.27,6.57,8,49.03,0.32,233
234,16.68,16.7,210,200,195,190,40.2,1.38,6.54,1280.74,78.17,48.77,2,8.11,11.04,1159.9,4.8,11.03,63.11,28.27,6.54,8,49.03,0.32,234
